sent_id	clause_text	clause_deprel	c_phrase_n	word_n
train-s21		acl	0	1
train-s21	所+的+	acl:relcl	2	3
train-s21	抗体+级+一+是+非常+的+	root	4	7
train-s22	丁+启睿+杨+与+文岳+汝宁+	root	2	7
train-s22	军+明+一路+无数+	parataxis	3	5
train-s22	傅+宗龙+	parataxis	1	3
train-s22		acl	0	1
train-s22	敕书+启睿+的+宝剑+尚方+全部+	parataxis	2	7
train-s23	年+1900+联军+国+八+天津+	root	3	7
train-s23	度+一+秘书+天津+都统+衙门+文+汉+	advcl	2	9
train-s23	事务+一切+外交+	advcl	1	4
train-s23	他+后来+又+教习+保定+学堂+总+	parataxis	4	8
train-s24	年+1903+学堂+该+为+学堂+北洋+大+大学+今+天津+	root	4	12
train-s24	丁+家立+仍+教习+总+	parataxis	3	6
train-s25	在+时+	xcomp	2	3
train-s25	其后+前者+被+	root	3	4
train-s25	而+氏+七里+则+能+成功+加贺+	parataxis	6	8
train-s26	最后+在+医生+终于+到+	root	4	6
train-s26	只+想+歌声+他+的+	advcl	3	6
train-s26	们+人+外星+而+并+	ccomp	3	6
train-s26	他+将+实体+个+一+	xcomp	2	6
train-s26	情感+的+	acl:relcl	2	3
train-s27	人+外星+	root	1	3
train-s27	歌声+将+他+的+星球+整颗+	ccomp	2	7
train-s27	这+	parataxis	1	2
train-s27	他+为+了+歌星+名+一+	ccomp	4	7
train-s28	变得+十分+	advcl	2	3
train-s28	医生+并+	root	2	3
train-s28	号+家+航海+的+	acl:relcl	2	5
train-s28		acl	0	1
train-s28	们+朋友+	ccomp	1	3
train-s28	很+不+	xcomp	2	3
train-s29	段+临近+该路+寺+静安+渡+和+曹家+两+店铺+	root	2	11
train-s30	四周+碑+纪念+公园+里+三元+抗+英+纪念+	root	2	10
train-s30	面积+占地+11265+的+	acl:relcl	3	5
train-s31	年+1963+的+	acl:relcl	2	4
train-s31	弗里茨+裔+奥地利+美国+家+学+经济+马赫卢普+	ccomp	1	9
train-s31	前身+组织+该+的+是+Bellagio+Group+	root	4	8
train-s31	目的+	parataxis	1	2
train-s31	为了+方案+	xcomp	2	3
train-s31	问题+国际+货币+体系+的+	acl:relcl	2	6
train-s31	年代+1960+美国+所+的+	acl:relcl	4	6
train-s31	特别+是+国际+收支+	parataxis	4	5
train-s32	布赖滕费尔德+	advcl	1	2
train-s32	月+年+1642+11+军+瑞典+再度+军+神圣+罗马+帝国+	root	4	12
train-s32	却+成果+军+瑞典+的+	advcl	2	6
train-s32	但+此时+王+丹麦+并+	parataxis	4	6
train-s32	瑞典+后+	advcl	2	3
train-s32	丹麦+	ccomp	1	2
train-s32	其+所+	ccomp	2	3
train-s32	军+瑞典+南方+日耳曼+之+	acl:relcl	3	6
train-s32	此+因+际+乘+瑞典+向+	parataxis	3	7
train-s33	州+密苏里+	advcl	1	3
train-s33	要求+由于+家长+的+该书+被+在+区+馆+学校+图书+的+类+非+小说+文学+作品+	root	5	18
train-s34	本书+就是+于+故事+罗伊+塞隆+和+的+真实+	root	4	10
train-s34	在+园+纽约+中央+公园+动物+的+	acl:relcl	3	8
train-s34	企鹅+只+这+两+雄性+南极+伴侣+	csubj	2	8
train-s34	年+6+	parataxis	1	3
train-s35		acl	0	1
train-s35		advcl	0	1
train-s35		advcl	0	1
train-s35	企鹅+雄性+并+	csubj	2	4
train-s35	幼鸟+	ccomp	1	2
train-s35	现实+是+其+	root	3	4
train-s35		acl	0	1
train-s35	这+鸟类+在+其他+许多+也+很+	parataxis	4	8
train-s36	图+阵+八+	advcl	1	4
train-s36	诸葛+亮+以+	root	2	4
train-s36		advcl	0	1
train-s36		xcomp	0	1
train-s37	四郎+员+日本+足球+运动+成员+前+日本+国家+队+足球+	root	3	12
train-s38	库容+水库+正常+为+500万+	root	3	6
train-s38	面积+集雨+为+199+	parataxis	3	5
train-s38	海拔+为+213.4+	parataxis	3	4
train-s39		acl	0	1
train-s39		advcl	0	1
train-s39	市场+海外+	xcomp	1	3
train-s39	东京+日本+纽约+和+美国+	advcl	1	6
train-s39	年+1986+保险+三星+生命+并+处+办事+	root	4	9
train-s40	本鱼+	root	1	2
train-s40	于+区+西北+洋+太平+湾+日本+松岛+台湾+至+海域+	ccomp	3	12
train-s40		acl	0	1
train-s41	的+	acl:relcl	1	2
train-s41	村+三栋屋+于+一带+路+三栋屋+	root	3	7
train-s41	处+和宜合+交汇+	acl	1	4
train-s42	的+	acl:relcl	1	2
train-s42		advcl	0	1
train-s42	生产+商品+	ccomp	1	3
train-s42	并+	conj	1	2
train-s42	过来+	advcl	1	2
train-s42	发展+不断+扩大+和+又+了+发展+	root	4	8
train-s42	的+	acl:relcl	1	2
train-s42	步+一+	advcl	1	3
train-s43	地区+	advcl	1	2
train-s43	交换+商品+最为+的+	acl:relcl	3	5
train-s43	分工+次+第三+社会+大+首先+	root	2	7
train-s44	五氧化二氮+的+	acl:relcl	2	3
train-s44	臭氧+	ccomp	1	2
train-s44	它+还+反应+与+	root	3	5
train-s44	层+对+臭氧+会+破坏+	advcl	3	6
train-s44	这+此+因+了+兴趣+人们+的+	parataxis	4	8
train-s45	是+常见+最+稳定+和+最+的+铑+的+氯化+	acl	4	11
train-s45		acl	0	1
train-s45	三氯化铑+式+化学+RhCl3+名称+IUPAC+氯化铑+III+室温+为+红色+暗+的+	root	4	14
train-s46	点+个+一+不同+	root	1	5
train-s46	三氯氧钒+是+强+氧化+	advcl	4	5
train-s46	而+物+磷化+	ccomp	2	4
train-s47	镇+三江+社区+三江+村+三江+村+茄南+村+道学+村+茄芮+村+苏寻三+村+上云+村+塘+眼镜+村+和+江源+	root	2	23
train-s48	后+	advcl	1	2
train-s48		advcl	0	1
train-s48	卫视+该+将+小时+24+节目+档+8+自办+	root	4	10
train-s48	栏目+重点+字幕+以+文+中+英+语+双+	advcl	2	10
train-s48	观众+为+南海+区域+资讯+服务+和+娱乐+	parataxis	2	9
train-s49	于+世纪+公元+5+	advcl	2	5
train-s49	教堂+该+年+1599+	root	2	5
train-s50	一+	advcl	1	2
train-s50		advcl	0	1
train-s50	亚当斯+把+信仰+	advcl	2	4
train-s50	为+徒+教+天主+	xcomp	2	5
train-s50	他们+但是+	root	2	3
train-s50		xcomp	0	1
train-s51	了+文书+友好+	advcl	2	4
train-s51	方+双+了+关系+日本+西班牙+与+新+的+正式+外交+	root	3	12
train-s52	同时+他+也+	advcl	3	4
train-s52	柔道+	xcomp	1	2
train-s52		acl	0	1
train-s52	并且+岁+在+17+段+黑带+一+	root	3	8
train-s53	年+拿到+冠军+这+三浦+美幸+了+二宫+城光+佐藤+胜昭+好手+	root	4	13
train-s53		acl	0	1
train-s54	此外+人+世纪+中+的+北欧+很+	root	3	8
train-s54	祭坛+往+博士+科隆+的+东方+三+	xcomp	1	8
train-s54	他们+	parataxis	1	2
train-s54	王冠+三+博士+跟+东方+三+关联+某种+	ccomp	3	9
train-s55	共+种+2+	advcl	2	4
train-s55	该属+部+于+印度+东北+锡金+不丹+	root	2	8
train-s56	因为+它们+仍+下颌+动物+爬行+的+退化+	ccomp	4	9
train-s56	所以+它们+被+于+动物+似+哺乳+爬行+	root	5	9
train-s57		acl	0	1
train-s57	反应+在+个+这+离子+碘+被+	root	3	8
train-s57	是+路易斯+	xcomp	2	3
train-s57	而+单质+碘+酸+路易斯+	parataxis	3	6
train-s58	故事+主要+故事+才子+江南+唐+伯虎+婢女+与+秋香+的+恋爱+	root	3	13
train-s59	三索颌腔蛇+平日+多+森林+于+草原+农地+	root	4	8
train-s59	当+敌人+时+	xcomp	3	4
train-s59	会+成+型+S+	advcl	3	5
train-s59	身体+以+对手+	parataxis	3	4
train-s60	会议+级+三+	root	1	4
train-s60	于+君权+之时+	ccomp	3	4
train-s60	当时+它+作用+对+君主+的+制约+是+的+	parataxis	5	10
train-s61	可以+	root	1	2
train-s61	会议+级+三+是+起源+制度+近代+欧洲+民主+议会+的+之+	ccomp	3	13
train-s62	技巧+跳远+级+三+主要+的+	root	1	7
train-s62	种+两+分别+为+足+单+	ccomp	4	7
train-s62		advcl	0	1
train-s62	以及+	conj	1	2
train-s63	模型+许多+维+三+纹理+	advcl	2	6
train-s63	覆盖+	advcl	1	2
train-s63	排列+将+纹理+模型+维+三+的+	acl:relcl	3	8
train-s63		acl	0	1
train-s63	但是+过程+映射+纹理+	root	3	5
train-s64	于+校门+旧+校舍+与+	advcl	2	6
train-s64		acl	0	1
train-s64		advcl	0	1
train-s64	殿+奉安+	root	1	3
train-s64	时+	advcl	1	2
train-s64		advcl	0	1
train-s64	须+	parataxis	1	2
train-s65	这+正是+线+往日+屯门+海岸+之+	root	3	8
train-s66	又+体+三+	acl	2	4
train-s66		advcl	0	1
train-s66	分子+相同+的+	acl:relcl	2	4
train-s66	体+聚+三+是+个+三+	root	3	7
train-s67	手法+同样+的+被+于+技术+现代+的+摄影+	root	4	10
train-s67		acl	0	1
train-s68	馆+讲道+时+	advcl	2	4
train-s68	三船+久藏+不+并+师傅+里面+的+任何+	root	3	9
train-s68	最后+他+	parataxis	2	3
train-s68	称+横山+鬼+之+的+	acl:relcl	2	6
train-s68	横山+作次郎+为+师傅+指导+	ccomp	3	6
train-s69	潟湖+于+礁+或+珊瑚+	advcl	1	6
train-s69		advcl	0	1
train-s69	本鱼+常+	root	2	3
train-s70	是+数学+的+个+一+	advcl	3	6
train-s70	学+角+三+主要+形+角+三+关系+以及+边+形+角+三+角+与+的+	root	3	17
train-s70		acl	0	1
train-s70		acl	0	1
train-s71		xcomp	0	1
train-s71	长度+边+其中+个+一+的+又+的话+	ccomp	3	9
train-s71		xcomp	0	1
train-s71	那么+长度+边+其他+条+两+的+也+就+	root	4	10
train-s72		root	0	1
train-s72	人+	ccomp	1	2
train-s72	形+退化+角+三+不能+并+	ccomp	2	7
train-s72	是+角+三+	xcomp	2	4
train-s72	这+	parataxis	1	2
train-s72		xcomp	0	1
train-s72	它+于+式+角+三+不等+	advcl	3	7
train-s72		acl	0	1
train-s72		acl	0	1
train-s72	资料+在+一些+已+了+情况+	xcomp	4	7
train-s72	边+其中+条+一+于+和+边+其余+条+两+之+的+	acl:relcl	4	13
train-s73	对象+部队+洲+角+三+特种+的+招募+通常+	root	2	10
train-s73	技能+特殊+的+	acl:relcl	2	4
train-s73	人+	ccomp	1	2
train-s73	外语+技能+或+其他+有用+	xcomp	1	6
train-s74	每+次+一+	root	2	4
train-s74	重量+背包+的+距离+和+长跑+都+会+	parataxis	3	9
train-s74	而+时间+规定+完成+却+	parataxis	3	6
train-s75	部分+测试+选拔+的+心理+	root	1	6
train-s75	测试+从+不计其数+的+心理+	xcomp	1	6
train-s76		advcl	0	1
train-s76	年代+以+早+中+晚+个+三+群+个+四+墓葬+	root	2	12
train-s77		advcl	0	1
train-s77	可+	xcomp	1	2
train-s77	力+很高+的+影响+度+和+知名+	advcl	1	8
train-s77		acl	0	1
train-s77	赛事+协会+世界+全能+项+三+运动+的+铁人+运动+项+三+意义+某种+	root	2	15
train-s77	项+铁人+三+为+了+代名词+全能+项+三+的+	ccomp	4	11
train-s78	是+瑞士+的+	advcl	2	4
train-s78	于+北部+该国+	advcl	2	4
train-s78	伯兹贝格+上+	root	1	3
train-s78		advcl	0	1
train-s78	州+阿尔高+	ccomp	1	3
train-s78	面积+5.45+	parataxis	2	3
train-s78	高度+海拔+540+	parataxis	2	4
train-s78	人口+年+2011+	parataxis	1	4
train-s78	人口+五成半+教+基督+	parataxis	2	5
train-s78	密度+人口+平方公里+每+92+	parataxis	3	6
train-s79		acl	0	1
train-s79		acl	0	1
train-s79	年+2001+遗迹+大楼+旧+议会+的+挖掘+在+次+一+被+	root	4	13
train-s80	行政+最初+的+地方+于+	root	2	6
train-s80		xcomp	0	1
train-s80	区+行政+分别+为+	ccomp	3	5
train-s80	布兰特福德+现在+的+	parataxis	1	4
train-s80		conj	0	1
train-s80	戈尔+	conj	1	2
train-s80	咸美顿+现在+的+	parataxis	1	4
train-s80	以及+霍姆+	conj	2	3
train-s80	多伦多+现在+的+	parataxis	1	4
train-s81	为+省+浙江+县+永嘉+县+政府+	advcl	5	8
train-s81	政治+全县+文化+	conj	1	4
train-s81	镇+上塘+于+	root	2	4
train-s81	南部+县+永嘉+江+楠溪+	conj	2	6
train-s82	它+是+古迹+州+南+波希米亚+重要+最+的+文化+之+	root	3	12
train-s83	均+	advcl	1	2
train-s83	电脑+机+和+LCD+投影+	xcomp	1	6
train-s83	课室+全校+并+宽频+	root	3	5
train-s84	最+为+人+所+的+	acl:relcl	5	6
train-s84	当中+计划+校园+记者+小+是+其中+项+一+资讯+科技+教学+	root	8	13
train-s85	仍然+海鸥+东视+红日+台标+的+	acl:relcl	3	7
train-s85	频道+上海+东方+台+电视+娱乐+是+目前+唯一+个+一+	root	5	12
train-s86		acl	0	1
train-s86	论坛+在+一些+网路+经常+	root	2	6
train-s86	网友+节目+将+东视+老+的+频道+与+现在+的+娱乐+新+比较+	ccomp	4	14
train-s86		parataxis	0	1
train-s86	网友+一些+毒舌+甚至+直接+	ccomp	3	6
train-s86	公司+娱乐+新+传媒+为+土+	ccomp	3	7
train-s87	公园+当时+亩+320+	root	3	5
train-s87	大门+于+路+白利南+路口+和+路+愚园+	parataxis	3	9
train-s88	上海+中国+莫斯科+和+俄罗斯+	advcl	1	6
train-s88	先后+会晤+	advcl	2	3
train-s88	年+1996+年+和+1997+元首+国+五+协定+关于+的+协定+和+关于+的+	root	3	16
train-s88	地区+边境+	advcl	1	3
train-s88	信任+军事+领域+	xcomp	1	4
train-s88	地区+边境+	advcl	1	3
train-s88	相互+力量+军事+	xcomp	2	4
train-s89	年+1919+家+意大利+钢琴+梅帕器+指挥+	root	3	8
train-s89	他+指挥+的+	acl:relcl	3	4
train-s89		acl	0	1
train-s89		advcl	0	1
train-s89	曲目+乐队+演奏+更加+	advcl	2	5
train-s89	沪+的+	acl:relcl	2	3
train-s89		advcl	0	1
train-s89	年+在+23+并+家+和+欧洲+各地+及+世界+著名+音乐+	parataxis	3	13
train-s89	声名+	parataxis	1	2
train-s89	被+为+第一+远东+	parataxis	3	5
train-s90	年+1959+大学+交通+	root	2	5
train-s90	为+大学+上海+交通+	advcl	2	5
train-s90	年+1999+学院+原+上海+农+	advcl	2	7
train-s90	部分+交通+大学+上海+年+2005+大学+原+上海+医科+第二+	parataxis	3	12
train-s91		acl	0	1
train-s91	路+18+是+市+上海+条+一+汽车+公共+	root	5	10
train-s92	店+苹果+电脑+中国+大陆+大+第二+的+旗舰+	advcl	1	10
train-s92	层+地下+平方米+1,500+	root	2	5
train-s93	物业+	root	1	2
train-s93	塔楼+幢+两+高层+办公+建筑+及+座+一+低层+	ccomp	1	11
train-s94	的+	acl:relcl	1	2
train-s94	形式+既+授权+版权+	root	3	5
train-s94	也+	conj	1	2
train-s94		advcl	0	1
train-s94		advcl	0	1
train-s94		advcl	0	1
train-s94	中+外+方+双+共同+	ccomp	2	6
train-s95		advcl	0	1
train-s95	年级+1+12+至+	ccomp	1	5
train-s95	部门+教学+并+部+IB+高中+	root	3	7
train-s96	竞争+赛季+2012+的+中超+联赛+十分+	root	2	8
train-s96	在+联赛+还+轮+两+之时+	ccomp	5	7
train-s96	出+了+局面+	parataxis	3	4
train-s96	队+2+	advcl	1	3
train-s96	队+6+亚冠+	advcl	2	4
train-s96	队+7+的+	acl:relcl	2	4
train-s96	唯独+	parataxis	1	2
train-s96	申花+上海+既+	ccomp	2	4
train-s96	资格+亚冠+	xcomp	1	3
train-s96	也+忧+	conj	2	3
train-s96	之+	acl:relcl	1	2
train-s97	开赛+赛季+2012+前+俱乐部+上海+申花+手笔+大+地+了+球星+法国+尼古拉+阿内尔卡+名帅+与+法国+让+蒂迦纳+	csubj	5	21
train-s97		root	0	1
train-s97	呼声+球队+的+联赛+夺冠+甚至+了+冠军+卫冕+恒大+广州+	ccomp	4	12
train-s98	现在+局+上海+铁路+事务+境内+市+上海+省+江苏+省+安徽+省+和+浙江+的+铁路+	root	3	18
train-s99	路+条+这+附近+上+陶恩+	csubj	2	7
train-s99		root	0	1
train-s99	该地+为+处+商人+货物+和+他们+的+重要+	ccomp	3	10
train-s99	之+	acl:relcl	1	2
train-s100	资源+县+大新+镇+下雷+锰矿+	root	1	7
train-s100		acl	0	1
train-s100	近年+企业+锰+产品+加工+	advcl	2	6
train-s100	水质+下游+河段+	parataxis	1	4
train-s101	右+	advcl	1	2
train-s101	其中+文+藏+左+由+	root	3	6
train-s101	文+察合台+右+由+左+	parataxis	3	6
train-s102	公司+战后+在+了+赞比西亚+领地+个+这+新+	root	4	10
train-s102	罗德西亚+	parataxis	1	2
train-s103	为+心情+	xcomp	2	3
train-s103	大家+一同+天马+宇宙+的+	root	3	6
train-s104	内容+考验+的+	root	1	4
train-s104	石+葛蕾丝+之+	xcomp	1	4
train-s104	在+各国+的+	acl:relcl	3	4
train-s105		acl	0	1
train-s105	关系+根据+表格+上+元素+个+七+的+可以+出+定理+个+二十一+	root	4	14
train-s106	了+岁+40+	advcl	2	4
train-s106	还+的+	acl:relcl	2	3
train-s106		xcomp	0	1
train-s106	以前+人+日本+会+	root	3	5
train-s106	人+	ccomp	1	2
train-s106	现在+则+再+平常+	parataxis	4	5
train-s107	力+个人+创造+的+	acl:relcl	2	5
train-s107	专利+是+	root	2	3
train-s108	他+	root	1	2
train-s108	能+空间+办公+人员+接待+秘书+	advcl	2	7
train-s108	并+成本+	conj	2	3
train-s108	从而+开支+日常+	xcomp	2	4
train-s109	线+世田谷+是+旗下+东京+急行+电铁+条+一+特别+较为+的+	root	5	13
train-s110	剧+个+这+广播+	root	1	5
train-s110		advcl	0	1
train-s110	大战+赫伯特+乔治+威尔斯+的+世界+	ccomp	1	7
train-s110	而+	xcomp	1	2
train-s111	的+	acl:relcl	1	2
train-s111	网路+国家+个+128+的+教会+所+	ccomp	2	8
train-s111	是+	advcl	1	2
train-s111		advcl	0	1
train-s111	组织+个+超过+100+国际+其中+	ccomp	2	7
train-s111	徒+4亿2千万+的+派+福音+基督+	advcl	1	7
train-s111	联盟+世界+福音+	root	1	4
train-s112	日+月+12+1+是+世界+病+艾滋+	root	4	9
train-s112	天+这+旨+	parataxis	2	4
train-s112	意识+公众+	xcomp	1	3
train-s112	病毒+HIV+的+	acl:relcl	2	4
train-s112	全球+	advcl	1	2
train-s112	病+对+艾滋+的+	acl:relcl	2	5
train-s113	从此+病+艾滋+已+	root	3	5
train-s113	人+两千五百万+超过+	ccomp	1	4
train-s114	从此+概念+个+这+被+政府+全球+各国+组织+国际+机构+和+慈善+	root	4	14
train-s115	目前+组织+该+约+	root	3	5
train-s115	国+个+50+成员+	ccomp	1	5
train-s115	总部+其+在+阿姆斯特丹+荷兰+	parataxis	3	6
train-s116	官+裁判+	root	1	3
train-s116	罪名+朴+仁焕+不+	ccomp	2	5
train-s116	当场+	parataxis	1	2
train-s117	是+世界+顶级+马拉松+巡回+	advcl	5	6
train-s117	满贯+世界+马拉松+大+年+自+2006+	root	2	8
train-s118	帝国+世纪+普遍+好评+	root	3	5
train-s118	但+批评+亦+不少+	parataxis	4	5
train-s119	作品+系列+帝国+世纪+相当+	root	2	6
train-s119		acl	0	1
train-s119	年+至+2008+游戏+系列+的+个+5+皆+	parataxis	3	10
train-s119	套+100万+	xcomp	1	3
train-s120	所+的+	acl:relcl	2	3
train-s120	智慧+每集+帝国+世纪+系列+人工+AI+	root	1	8
train-s120	师+由+设计+	xcomp	1	4
train-s120	且+常常+	conj	2	3
train-s121		acl	0	1
train-s121	版+帝国+世纪+的+个+数+特别+了+集+本+一+精装+原画+	root	3	14
train-s122	情节+个+一+特定+的+故事+	advcl	1	7
train-s122	战役+	root	1	2
train-s122	互相+的+	acl:relcl	2	3
train-s122	任务+系列+一+起来+	ccomp	2	5
train-s123	他+亦+	root	2	3
train-s123	要素+它+独一无二+的+室+为+全效+工作+了+声誉+大师+即时+战略+游戏+的+	ccomp	4	16
train-s124	室+家+两+工作+都+	root	2	6
train-s124	在+游戏+前+	ccomp	3	4
train-s124	测试+最后+	xcomp	1	3
train-s125	由于+游戏+的+	ccomp	3	4
train-s125	事件+根据+历史+	advcl	1	4
train-s125	而+	xcomp	1	2
train-s125	小组+开发+常常+需要+其+对+考究+大量+的+	root	5	10
train-s126	日+于+年+1998+月+10+31+	advcl	1	8
train-s126	片+资料+霸主+罗马+了+	root	2	6
train-s126	特色+很多+新+的+文明+和+罗马+古+	ccomp	2	9
train-s126		acl	0	1
train-s127	游戏+主要+为+地图+随机+模式+和+战役+部分+两+	root	4	11
train-s128		root	0	1
train-s128	许+荣茂+先生+	ccomp	1	4
train-s128	业务+主要+	parataxis	1	3
train-s128	城市+中国+大陆+	advcl	1	4
train-s128	经济+的+	acl:relcl	2	3
train-s128	或+极+潜力+发展+	conj	3	5
train-s128		xcomp	0	1
train-s128	项目+大型+质素+及+高+的+综合+房地产+住宅+酒店+零售+物业+及+商用+	ccomp	2	15
train-s129	SEC+向+现金+总额+的+股票+和+公司+新+	advcl	2	10
train-s129	75亿+美+	acl	2	3
train-s129	计划+根据+破产+重组+公司+	root	2	6
train-s129	以+者+投资+	xcomp	2	4
train-s129	的+	acl:relcl	1	2
train-s129		xcomp	0	1
train-s130	丑闻+迅即+被+	root	3	4
train-s130	苏利文+被+	parataxis	2	3
train-s130	Myers+主动+	parataxis	2	3
train-s130	安达信+了+意见+年+2001+的+审计+	parataxis	3	8
train-s131	弟子+他+早期+的+四世+约翰+史坦贝克+John+Steinbeck+IV+妻子+与+他+的+	root	1	15
