sent_id	word_sound	character_token_n	sound_n
n01003010	['toŋ']	1	3
n01003010	['$aŋ', 'di']	2	5
n01003010	['hui', 'jian']	2	7
n01003010	['ji', '$u']	2	4
n01003010	['$uo', 'ke']	2	5
n01003010	['d#', 'bi#']	2	5
n01003010	['ta', 'men']	2	5
n01003010	['fen', 'bie']	2	6
n01003010	['zi']	1	2
n01003010	['goŋ', 'si']	2	5
n01003010	['dian', 'yiŋ']	2	7
n01003010	['xie', 'hui']	2	6
n01003010	['xi#', 'f#']	2	5
n01003010	['ke', 'ji']	2	4
n01003010	['qi', 'ta']	2	4
n01003010	['tuan', 'ti']	2	6
n01003012	['ji', 'hui']	2	5
n01003012	['ɥæn', 'ben']	2	6
n01003012	['djəŋ']	1	4
n01003012	['ge']	1	2
n01003012	['jie', 'qu']	2	5
n01003012	['$i', 'w#']	2	4
n01003012	['jie']	1	3
n01003012	['hua', '$eŋ', 'dwən']	3	10
n01003012	['si', 'ren']	2	5
n01003012	['da', 'du', 'hui']	3	7
n01003012	['ju', 'le', 'bu']	3	6
n01003012	['ju', 'xjəŋ']	2	6
n01003013	['ye', 'xu']	2	4
n01003013	['$uo', '$uaŋ']	2	7
n01003013	['y#', 'qiu']	2	5
n01003013	['guo']	1	3
n01003013	['$en', 'men']	2	6
n01004009	['bu', '$i']	2	4
n01004009	['ba']	1	2
n01004009	['ke', 'xue']	2	5
n01004009	['yan', 'jiu']	2	6
n01004009	['faŋ', 'fa']	2	5
n01004009	['du', 'li']	2	4
n01004009	['$aŋ', 'jie']	2	6
n01004009	['ji#', '$#']	2	5
n01004009	['li', 'ru']	2	4
n01004009	['xue', '$eŋ']	2	6
n01004009	['$i', 'ji']	2	4
n01004009	['yun', 'yoŋ']	2	6
n01004009	['xue', 'xi']	2	5
n01004009	['ke', '$eŋ']	2	5
n01004009	['n#', 'roŋ']	2	5
n01004017	['nian', 'ji']	2	6
n01004017	['quan', 'guo']	2	7
n01004017	['pjəŋ', 'jun']	2	7
n01004017	['$ui', 'pjəŋ']	2	7
n01004017	['qie']	1	3
n01005023	['xiaŋ', 'bi']	2	6
n01005023	['$i', 'xia']	2	5
n01005023	['nian']	1	4
n01005023	['k#', 'ye']	2	4
n01005023	['nuo', 'ma']	2	5
n01005023	['di', 'tie', '$an']	3	8
n01005023	['xiu', 'jian']	2	7
n01005023	['h#']	1	2
n01005023	['$eŋ', 'ben']	2	6
n01005024	['wo', 'men']	2	5
n01005024	['mian', 'lin']	2	7
n01005024	['hen', 'duo']	2	6
n01005024	['jjəŋ', '$eŋ']	2	7
n01005024	['ren', 'w#']	2	5
n01005024	['neŋ']	1	3
n01005024	['ju', 'mian']	2	6
n01005024	['baŋ', '$u']	2	5
n01005024	['qi#', '$i', '$eŋ']	3	8
n01005024	['$aŋ', 'ye']	2	5
n01005024	['g#', '$an', 'hui']	3	8
n01005024	['$u', 'xi']	2	4
n01005024	['qi#']	1	3
n01005024	['si', 'dwən', 'l#']	3	8
n01005031	['gen', 'ju']	2	5
n01005031	['ke', 'xjəŋ', 'xjəŋ']	3	10
n01005031	['gu', 'ji']	2	4
n01005031	['$eŋ', 'ke']	2	5
n01005031	['$eŋ', 'zuo']	2	6
n01005031	['lan', '$e']	2	5
n01005031	['$uan', 'ɥe']	2	6
n01005031	['bwo', 'tuo', 'ma', 'ke', 'he']	5	12
n01005031	['xu', '$i']	2	4
n01005031	['si']	1	2
n01005031	['fen', '$oŋ']	2	6
n01006011	['mu', 'ji', '$e']	3	6
n01006011	['g#', 'su']	2	4
n01006011	['jjəŋ', 'faŋ']	2	7
n01006011	['b#']	1	2
n01006011	['h#', 'ren']	2	5
n01006011	['xi', 'ji']	2	4
n01006011	['xian', 'yi', 'ren']	3	9
n01007012	['y#', 'xi']	2	4
n01007012	['ri', '$aŋ']	2	5
n01007012	['$eŋ', 'huo']	2	6
n01007012	['xiaŋ', 'si']	2	6
n01008017	['bi', 'li']	2	4
n01008017	['duo']	1	3
n01008017	['yi', '$i']	2	4
n01008017	['wen', 'bu']	2	5
n01008017	['$aŋ', '$eŋ']	2	6
n01008017	['ren', 'k#']	2	5
n01008017	['pu', '$a', 'ju']	3	6
n01008017	['$u', 'ju']	2	4
n01008017	['xian', '$i']	2	6
n01008017	['xuan', 'ju', 'ri']	3	8
n01008017	['$i', 'qian']	2	6
n01008017	['jie', '$#']	2	5
n01008017	['t#', 'pi#']	2	5
n01008017	['$i', 'y#']	2	4
n01008017	['zoŋ', 't#', 'pi#', 'e']	4	9
n01008017	['jin', 'nian']	2	7
n01008017	['$u', 'zi']	2	4
n01008017	['ke', 'neŋ']	2	5
n01008017	['z#', 'ci']	2	4
n01008017	['ji', 'zeŋ']	2	5
n01009027	['xian', 'z#']	2	6
n01009027	['ji', 'mwo']	2	5
n01009027	['bjəŋ']	1	4
n01009027	['d#']	1	2
n01009027	['gu', 'du']	2	4
n01009054	['yi', 'jjəŋ']	2	6
n01009054	['guo', 'jia']	2	6
n01009054	['yoŋ']	1	3
n01009054	['$oŋ', 'qun']	2	6
n01009054	['doŋ', 'wu']	2	5
n01009054	['b#', 'kuo']	2	5
n01009054	['kuo', '$oŋ']	2	6
n01009054	['doŋ', 'wu', 'ɥæn']	3	8
n01009054	['sa', 'qi', 'bu']	3	6
n01009054	['$uo']	1	3
n01010042	['pan']	1	3
n01010042	['wo', 'er', 'ka']	3	6
n01010042	['xian', '$eŋ']	2	7
n01010042	['ceŋ', 'jjəŋ']	2	7
n01010042	['duan']	1	4
n01010042	['$i', 'ke']	2	4
n01010042	['jue', 'de']	2	5
n01010042	['zi', 'ji']	2	4
n01010042	['yiŋ', 'g#']	2	5
n01010042	['li', 'k#']	2	4
n01010042	['na']	1	2
n01010042	['$uaŋ']	1	4
n01010042	['da', 'l#']	2	4
n01011004	['$i', 'koŋ']	2	5
n01011004	['$i', 'tu']	2	4
n01011004	['$a', 'si']	2	4
n01011004	['liaŋ']	1	4
n01011004	['sui']	1	3
n01011004	['da']	1	2
n01011004	['nv', 'er']	2	4
n01011011	['bi#', '$i']	2	5
n01011011	['er', 'zi']	2	4
n01011011	['an', 'de', 'lie']	3	7
n01011011	['lian']	1	4
n01011011	['an', 'jin']	2	5
n01011011	['ke', 'tjəŋ']	2	6
n01011011	['$uaŋ', 'dian']	2	8
n01011011	['li']	1	2
n01011011	['$i', 'h#']	2	4
n01011011	['toŋ', 'yaŋ']	2	6
n01011011	['faŋ', '$i']	2	5
n01011011	['an', 'ji', 'er']	3	6
n01011017	['bu', 'guan']	2	6
n01011017	['qjəŋ', 'kuaŋ']	2	8
n01011017	['zuo', 'l#']	2	5
n01011017	['xi', 'waŋ']	2	5
n01011017	['$e', 'me']	2	4
n01011017	['$i', 'de']	2	4
n01012003	['qi', '$oŋ']	2	5
n01012003	['ya', 'zi', 'di']	3	6
n01012003	['nv', 'ren']	2	5
n01012003	['k#', '$i']	2	4
n01012003	['ku', 'qi']	2	4
n01012003	['sui', 'h#']	2	5
n01012003	['peŋ', 'y#']	2	5
n01012003	['ye']	1	2
n01013005	['#', 'si', 'ben']	3	6
n01013005	['qi']	1	2
n01013005	['jie', 'gu']	2	5
n01013005	['yin', 'xiaŋ']	2	7
n01013005	['d#', 'li']	2	4
n01013005	['ji', 'g#']	2	4
n01013005	['qian', 'djəŋ']	2	8
n01013005	['xie', 'yi']	2	5
n01014003	['m#', 'ke', 'er']	3	6
n01014003	['fa', 'lwən']	2	6
n01014003	['qie', 'duan']	2	7
n01014003	['di', 'yi']	2	4
n01014003	['gen']	1	3
n01014003	['gaŋ', 'c#']	2	5
n01014003	['tian']	1	4
n01014003	['b#', '$eŋ']	2	5
n01014003	['xin', 't#', 'zi']	3	7
n01014003	['he']	1	2
n01014003	['$aŋ', 'b#']	2	5
n01014003	['goŋ', 'zuo']	2	6
n01014003	['an', 'quan']	2	6
n01014003	['xi#', 'yiŋ']	2	6
n01014003	['ke']	1	2
n01014003	['$i', 'xu']	2	4
n01014012	['w#', 'le']	2	4
n01014012	['b#', 'quan']	2	6
n01014012	['ke', 'l#', 'de']	3	6
n01014012	['z#', '$uan']	2	6
n01014012	['$an', 'ye']	2	5
n01014012	['xin', 'huaŋ', 'jia']	3	10
n01014012	['h#', 'jun']	2	5
n01014012	['su', 'ge', 'lan']	3	7
n01014012	['goŋ', 't#']	2	5
n01014012	['xu', 'xia']	2	5
n01014012	['xia', 'da']	2	5
n01014012	['djəŋ', 'dan']	2	7
n01014012	['$eŋ', 'nuo']	2	6
n01015033	['xian', 'er', 'yi', 'jian']	4	12
n01015033	['mjəŋ', 'ren']	2	7
n01015033	['mjəŋ', 'zi']	2	6
n01015033	['zui', 'k#', '$i']	3	7
n01015033	['xiaŋ', 'daŋ']	2	7
n01015033	['han', 'jian']	2	7
n01015036	['$i', '$i']	2	4
n01015036	['guan']	1	4
n01015036	['n#', 'te', 'li']	3	6
n01015036	['$aŋ', 'jian']	2	7
n01015036	['$eŋ', 'du']	2	5
n01015036	['qian']	1	4
n01015036	['mjəŋ']	1	4
n01015036	['$aŋ', 'yoŋ']	2	6
n01015036	['k#', 'la']	2	4
n01015036	['yiŋ', 'er']	2	5
n01015036	['qi', 'er', 'la']	3	6
n01015036	['san']	1	3
n01016014	['jia']	1	3
n01016014	['han', 'guo']	2	6
n01016014	['zui', '$u']	2	5
n01016014	['yi', 'w#']	2	4
n01016014	['dian', '$i']	2	6
n01016014	['gu', '$aŋ']	2	5
n01016014	['zui', 'kui']	2	6
n01016014	['huo', '$#']	2	5
n01016014	['yin', 'er']	2	5
n01016014	['ti', 'd#']	2	4
n01016014	['zu', 'jian']	2	6
n01016014	['g#', 'yoŋ']	2	5
n01016014	['di', 'san']	2	5
n01016014	['faŋ']	1	3
n01016014	['dian', 'ɥæn']	2	7
n01016014	['dan', 'ɥæn']	2	6
n01016019	['yi', 'xie']	2	5
n01016019	['fen', 'xi', 'jia']	3	8
n01016019	['hua', 'w#']	2	5
n01016019	['zui']	1	3
n01016019	['coŋ']	1	3
n01016019	['san', 'xjəŋ']	2	7
n01016019	['cuo', '$e']	2	5
n01016019	['$#', 'yi']	2	4
n01016032	['$#', 'ji']	2	4
n01016032	['que', '$#']	2	5
n01016032	['xiaŋ']	1	4
n01016032	['gu', 'ge']	2	4
n01016032	['$u', '$#']	2	4
n01016032	['huo']	1	3
n01016032	['pjəŋ', 'guo']	2	7
n01016032	['na', 'yaŋ']	2	5
n01016032	['ren', 'goŋ']	2	6
n01016032	['$i', 'neŋ']	2	5
n01016032	['jie', 'mian']	2	7
n01017005	['lv', 'xjəŋ']	2	6
n01017005	['$uan', 'jia']	2	7
n01017005	['jjəŋ', 'g#']	2	6
n01017005	['f#', 'ji']	2	4
n01017005	['f#', 'xjəŋ']	2	6
n01017005	['p#', '$i']	2	4
n01017005	['koŋ', '$oŋ']	2	6
n01017005	['waŋ', 'luo']	2	6
n01017005	['waŋ', 'waŋ']	2	6
n01017005	['bu']	1	2
n01017005	['ke', 'k#']	2	4
n01017005	['er', 'qie']	2	5
n01017005	['t#']	1	2
n01017005	['yiŋ', 'xiaŋ']	2	7
n01017005	['lv', 'ke']	2	4
n01017005	['haŋ', 'koŋ']	2	6
n01017005	['xuan', 'ze']	2	6
n01017008	['yiŋ', 'guo']	2	6
n01017008	['guo', 'ji']	2	5
n01017008	['ji', 'tuan']	2	6
n01017008	['pwo', 'jie']	2	6
n01017008	['ti', 'goŋ']	2	5
n01017008	['da', '$i']	2	4
n01017008	['xin', 'xi']	2	5
n01017010	['$i', 'f#']	2	4
n01017010	['$#', 'qu']	2	4
n01017010	['$i', 'yoŋ', 'f#']	3	7
n01017010	['zi', 'xjəŋ']	2	6
n01017010	['jue', 'djəŋ']	2	7
n01017013	['duo', '$u']	2	5
n01017013	['hui']	1	3
n01017013	['ji', '$aŋ']	2	5
n01017013	['bi']	1	2
n01017013	['fa']	1	2
n01017013	['dian', 'zi']	2	6
n01017013	['y#', 'jian']	2	6
n01017013	['jian']	1	4
n01017013	['geŋ', 'jia']	2	6
n01017013	['y#', 'yoŋ']	2	5
n01018024	['kan']	1	3
n01018024	['qi', 'l#']	2	4
n01018024	['$#', 'neŋ', 'li']	3	7
n01018040	['faŋ', 'an']	2	5
n01018040	['zan', '$u']	2	5
n01018040	['guaŋ', 'g#']	2	6
n01018040	['yiŋ', 'li']	2	5
n01019004	['w#', 'qi']	2	4
n01019004	['qjəŋ', 'b#']	2	6
n01019004	['ren', '$eŋ']	2	6
n01019005	['$e', 'li']	2	4
n01019005	['b#', 'h#']	2	4
n01019005	['yi', 'tu']	2	4
n01019005	['ti', '$u']	2	4
n01019005	['$i', 'yi']	2	4
n01020004	['ci', 'qian']	2	6
n01020004	['$uan', 'g#', 'ren']	3	9
n01020004	['$e', 'xie']	2	5
n01020004	['pen', 'qi', 'ji']	3	7
n01020017	['toŋ', '$aŋ']	2	6
n01020017	['$oŋ', 'guo']	2	6
n01020017	['ben', '$#']	2	5
n01020017	['n#']	1	2
n01020017	['$an', '$i']	2	5
n01020017	['jun', '$i']	2	5
n01020017	['yiŋ', 'jian']	2	7
n01020017	['ru']	1	2
n01020017	['jian', 'ji', 'ji']	3	8
n01020017	['h#', '$aŋ']	2	5
n01020017	['deŋ']	1	3
n01020021	['y#', 'yu']	2	4
n01020021	['w#', 'l#']	2	4
n01020021	['$eŋ']	1	3
n01020021	['quan', 'qiu']	2	7
n01020021	['zui', 'da']	2	5
n01020021	['$i', '$aŋ']	2	5
n01020021	['ci', 'ci']	2	4
n01020021	['$an', 'hui']	2	6
n01020021	['b#', 'jjəŋ']	2	6
n01020021	['min']	1	3
n01020021	['yi', 'ji']	2	4
n01020021	['guo', 'faŋ']	2	6
n01020021	['faŋ', 'mian']	2	7
n01020021	['ye', 'xin']	2	5
n01021007	['bu', 'xjəŋ']	2	6
n01021007	['$eŋ', 'mjəŋ']	2	7
n01021007	['$#', '$u']	2	4
n01021007	['ti']	1	2
n01021007	['hui', 'hu#']	2	6
n01021007	['h#', 'ke']	2	4
n01021007	['lwən', 'tan']	2	7
n01021007	['$uaŋ', '$i', 'ren']	3	9
n01021007	['jie', 'xi', 'ka']	3	7
n01021007	['la', 'bu', 'luo', 'ka']	4	9
n01021007	['jie', '$i']	2	5
n01021007	['guan', 'bi']	2	6
n01021007	['ɥæn', 'yin']	2	6
n01021007	['ze']	1	2
n01021007	['xi#', 'xi']	2	5
n01021011	['zui', 'xin']	2	6
n01021011	['$i', 'jian']	2	6
n01021011	['hen']	1	3
n01021011	['ri']	1	2
n01021011	['goŋ', 'ji']	2	5
n01021011	['re', 'men']	2	5
n01021011	['waŋ', '$an']	2	6
n01021011	['gua']	1	3
n01021012	['fen', 'xi']	2	5
n01021012	['bi#', 'mjəŋ']	2	7
n01021012	['$i', 'yoŋ']	2	5
n01021012	['li', '$i']	2	4
n01021012	['z#', '$eŋ']	2	5
n01021012	['$oŋ', 'duan']	2	7
n01022002	['lian', 'he', 'guo']	3	9
n01022002	['hui', 'gu']	2	5
n01022002	['tan']	1	3
n01022002	['ji', 'hua']	2	5
n01022002	['f#', '$aŋ']	2	5
n01022002	['nan']	1	3
n01022002	['$i', 'xian']	2	6
n01022002	['b#', '$i']	2	4
n01022002	['qi', 'wen']	2	5
n01022002	['xia']	1	3
n01022002	['xu', 'y#']	2	4
n01022005	['ke', 'xue', 'jia']	3	8
n01022005	['mu', 'qian']	2	6
n01022005	['qu', '$u']	2	4
n01022005	['koŋ', 'qi']	2	5
n01022005	['man', 'zu']	2	5
n01022005	['ba', 'li']	2	4
n01022005	['mu', 'bi#']	2	5
n01022010	['huan', 'jjəŋ']	2	8
n01022010	['gui', 'hua', '$u']	3	8
n01022010	['fu', 'ze', 'ren']	3	7
n01022010	['#', 'li', 'ke']	3	5
n01022010	['suo', 'er', 'h#', 'mu']	4	9
n01022010	['$#', '$e']	2	4
n01022010	['$eŋ', 'que']	2	6
n01022010	['faŋ', 'xiaŋ']	2	7
n01022010	['qian', 'jin']	2	7
n01022010	['ti', 'ji']	2	4
n01022010	['jian', 'huan']	2	8
n01022010	['qi', 'h#']	2	4
n01022010	['bian', 'hua']	2	7
n01022010	['jin', 'qi']	2	5
n01022010	['ji', 'jia', 'li']	3	7
n01022010	['xiu', '$eŋ', 'an']	3	8
n01022010	['jian', '$#']	2	6
n01022010	['qjəŋ', 'fu', 'tan', 'hua', 'he', 'wu']	6	16
n01022010	['p#', 'faŋ']	2	5
n01022016	['t#', 'zi']	2	4
n01022016	['zeŋ', '$aŋ']	2	6
n01022027	['de', 'd#']	2	4
n01022027	['xie', 'djəŋ']	2	7
n01022027	['qjəŋ', 'he']	2	6
n01022027	['goŋ', 'xian']	2	7
n01022027	['coŋ', 'w#']	2	5
n01022027	['da', 'd#']	2	4
n01022027	['du']	1	2
n01023020	['mwo', 'xi', 'ge']	3	7
n01023020	['h#', 'an']	2	4
n01023034	['zeŋ', 'jia']	2	6
n01023034	['xin', 'xian', '$i']	3	9
n01023034	['fa', '$eŋ']	2	5
n01023034	['di', 'qiu']	2	5
n01023034	['hui', 'mie']	2	6
n01023034	['wu', '$oŋ']	2	5
n01023034	['bu', 'jin']	2	5
n01023034	['koŋ', 'loŋ']	2	6
n01023034	['zi', 'ran']	2	5
n01023043	['jie', 'lu']	2	5
n01023043	['yun', '$i']	2	5
n01023043	['c#', 'li#']	2	5
n01023043	['g#', 'han', 'liaŋ']	3	9
n01023043	['ɥæn', 'su']	2	5
n01024010	['$#', 'guo']	2	5
n01024010	['$oŋ', 'zi']	2	5
n01024010	['$i', 'wu']	2	4
n01024010	['cwən', 'huo']	2	7
n01024010	['jin', 'jin']	2	6
n01024010	['lve']	1	3
n01024010	['t#', 'koŋ']	2	5
n01024010	['gaŋ', 'gaŋ']	2	6
n01024013	['$i', 'yan']	2	5
n01024013	['jie', 'guo']	2	6
n01024013	['jin']	1	3
n01024013	['huo', 'jian']	2	7
n01024013	['ke', 'yi']	2	4
n01024013	['cwən', '$u']	2	6
n01024013	['koŋ', 'jian', '$an']	3	10
n01024013	['liu']	1	3
n01024013	['bu', 'hui']	2	5
n01024013	['fa', 'ya']	2	4
n01024013	['$eŋ', '$aŋ']	2	6
n01024013	['neŋ', 'li']	2	5
n01024013	['$an', '$eŋ']	2	6
n01024013	['ren', 'he']	2	5
n01024013	['xian', '$u']	2	6
n01024016	['l#', '$i', 'men']	3	7
n01024016	['fa', 'l#']	2	4
n01024016	['yi', 'jian']	2	6
n01025025	['g#', 'm#']	2	4
n01025025	['$uan', 'd#']	2	6
n01025025	['bie', 'ren']	2	6
n01025025	['$en', 'ti']	2	5
n01025025	['bu', 'w#']	2	4
n01025025	['xiaŋ', 'fa']	2	6
n01025025	['reŋ', 'jiu']	2	6
n01025025	['raŋ']	1	3
n01025025	['gan', 'jue']	2	6
n01025025	['e', 'xin']	2	4
n01025040	['m#', 'fa']	2	4
n01025040	['hua', 'xue', 'yu']	3	8
n01025040	['di']	1	2
n01025040	['ji#', '$i', 'ceŋ']	3	8
n01025040	['ta', 'er', 'luo']	3	7
n01025045	['zoŋ', 'guan']	2	7
n01025045	['t#', 'fa']	2	4
n01025045	['$eŋ', '$i']	2	5
n01025045	['ceŋ', 'mian']	2	7
n01025045	['yi', 'yi']	2	4
n01026004	['tie', 'zi']	2	5
n01026004	['xie']	1	3
n01026004	['jin', 'wan']	2	6
n01026004	['g#', 'ji', 'guaŋ', '$u']	4	10
n01026004	['$u', 'fa']	2	4
n01026016	['$en', '$en', '$i']	3	8
n01026016	['ji#', 'jjəŋ']	2	7
n01026016	['yi', 'qian']	2	6
n01026016	['xuan', 'yoŋ']	2	7
n01026016	['f#']	1	2
n01026016	['$aŋ', 'gui']	2	6
n01027007	['$ui']	1	3
n01027030	['y#', 'guan']	2	6
n01027030	['min', '$u']	2	5
n01027030	['daŋ']	1	3
n01027030	['$eŋ', 'lwən']	2	7
n01027030	['w#', 'r#']	2	4
n01027030	['b#', 'ren']	2	5
n01027030	['nan', 'xjəŋ']	2	7
n01027030	['$en', 'fen']	2	6
n01027041	['wen']	1	3
n01027041	['$i', 'bu', '$i']	3	6
n01027041	['mjəŋ', 'b#']	2	6
n01027041	['$en', 'me']	2	5
n01027041	['ren', 'men']	2	6
n01027041	['te', 'laŋ', 'pu']	3	7
n01027049	['m#', 'ge']	2	4
n01027049	['$#', 'ɥe']	2	4
n01028022	['xjəŋ', 'yun']	2	7
n01028022	['daŋ', '$i']	2	5
n01028022	['suo', 'ni']	2	5
n01028022	['#', 'da', 'li', 'ya']	4	7
n01028022	['$wən', 'bian']	2	8
n01028022	['$u', 'yi']	2	4
n01028022	['dian']	1	4
n01028022	['ma']	1	2
n01028022	['b#', 'er']	2	4
n01029006	['xi', 'ge', 'er']	3	6
n01029006	['mi#', '$u']	2	5
n01029006	['e', 'luo', 'si']	3	6
n01029006	['ke', 'li', 'mi', 'ya']	4	8
n01029006	['twən', 'bjəŋ']	2	8
n01029006	['xjəŋ', 'doŋ']	2	7
n01029006	['he', 'li']	2	4
n01029006	['deŋ', '$aŋ']	2	6
n01029006	['xin', 'wen']	2	6
n01029006	['t#', 'ti#']	2	5
n01029007	['kuaŋ', 're']	2	6
n01029007	['ji', 'ta', '$#']	3	6
n01029007	['toŋ', 'nian']	2	7
n01029007	['na', 'li']	2	4
n01029007	['ju', 'ban']	2	5
n01029007	['yan', '$aŋ', 'hui']	3	9
n01029011	['zu', 'mu']	2	4
n01029011	['ɥæn', 'doŋ']	2	6
n01029011	['di', 'qu']	2	4
n01029011	['fu', 'la', 'di', 'wo', 'si', 'tuo', 'ke']	7	15
n01029011	['jjəŋ', '$aŋ']	2	7
n01029011	['qian', 'waŋ']	2	7
n01029011	['jiu']	1	3
n01029011	['faŋ', 'wen']	2	6
n01029011	['kan', '$a', 'jia']	3	8
n01029011	['ban', 'd#']	2	5
n01029011	['ku', 'ye', 'd#']	3	6
n01029014	['$#', 'du']	2	4
n01029014	['b#', 'er', 'ge', 'l#', 'de']	5	10
n01029014	['k#', 'ban']	2	5
n01029014	['wu', '$u']	2	4
n01029014	['xue', 'xi#']	2	6
n01029014	['ji#', 'z#']	2	5
n01029014	['$#', 'yu']	2	4
n01029014	['s#', 'er', 'w#', 'ya']	4	8
n01030005	['fa', 'yan', 'ren']	3	8
n01030005	['m#', 'lian', '$e']	3	8
n01030005	['k#', 'jue']	2	5
n01030005	['ji', 'er']	2	4
n01030005	['yan', 'bian']	2	7
n01030005	['yu', 'yan']	2	5
n01030005	['$oŋ', 'tu']	2	5
n01030005	['wu']	1	2
n01030005	['ren', 'ɥæn']	2	6
n01030005	['$aŋ', 'waŋ']	2	6
n01030005	['b#', 'g#']	2	4
n01030006	['ka', 'loŋ']	2	5
n01030006	['yiŋ', 'pian']	2	7
n01030006	['#', 'si', 'ka']	3	5
n01030006	['huo', 'jiaŋ']	2	7
n01030006	['di', 'xin']	2	5
n01030006	['yin', 'li']	2	5
n01030006	['ju', '$uo']	2	5
n01030006	['$i', 'gu']	2	4
n01030006	['pian', '$aŋ']	2	7
n01030008	['ju']	1	2
n01030008	['goŋ', 'an', 'ju']	3	7
n01030008	['$#', 'er']	2	4
n01030008	['da', 'qun']	2	5
n01030008	['zi', '$eŋ']	2	5
n01030008	['qu']	1	2
n01030008	['ji', 'guan']	2	6
n01030008	['l#', 'd#']	2	4
n01031005	['fu', '$u']	2	4
n01031005	['nu', 'li']	2	4
n01031005	['fa', '$an']	2	5
