sent_id	sent_text	clause_n	c_phrase_n
w01017004	# text = 全球板块构造力的影响形成了东非大裂谷，乞力马扎罗山和肯尼亚山位于东非，它们是非洲最高的两个山峰。	1	7
w01017046	# text = 后者让伊斯兰教传播到沿岸一带，但大部分的班图人从未接触过伊斯兰教，并保留了非洲传统宗教信徒的身份。	3	12
w01018019	# text = 法国把喀麦隆的经济与法国经济融为一体，利用资金投资和熟练工人提升基础设施，调节劳动力系统。	4	7
w01018029	# text = 1961年10月1日，前英属南喀麦隆与法属喀麦隆统一，组成喀麦隆联邦共和国。	2	4
w01018101	# text = 根据劳动部有关最恶劣童工形式的研究报导称，在五至十四岁的儿童中有56%为童工；在七至十四岁的儿童中近53%处于半工半学的状态。	3	8
w01019014	# text = 非洲撒海尔区的气候与位于北部的撒哈拉沙漠的气候相似，但是其极端程度相对较低。	2	7
w01019073	# text = 2010年六月至八月期间，非洲撒海尔区发生饥荒。	1	3
w01020016	# text = 位于地中海海岸附近的几个古老文明均因位置近海而受到极大的影响。	3	9
w01020017	# text = 在那些时代中，它为数个社区的贸易、殖民、战争乃至（来自捕鱼以及海产采集的）食品提供了通道。	2	8
w01020018	# text = 由于气候、地理和近海情况相似，以地中海为中心的数个文明均在某程度上拥有互相交错的文化和历史。	5	12
w01020019	# text = 其中两个古典时代的最著名地中海文明是希腊城邦和腓尼基人，两者均大规模地在地中海的海岸线进行殖民活动。	2	7
w01020020	# text = 后来奥古斯塔斯建立了罗马帝国，罗马人把地中海称为“我们的海”(Mare Nostrum)。	1	4
w01022033	# text = Blindleia运河是一个由礁石保护起来的水路，从挪威南部的克里斯蒂安松开始，穿过利勒桑蜿蜒而行。	6	10
w01022055	# text = 在丹麦语中，这个词可能也适用于浅礁湖。	1	6
w01022092	# text = 如峡湾一样，淡水湖通常较深。	2	3
w01023074	# text = 这里提供酒精类饮品，诸如啤酒、蜂蜜酒和bjorr酒（一种烈性水果酒），富人还可以享用到进口葡萄酒。	2	8
w01023120	# text = 无论规则是什么，在这些搏斗中通常会导致其中一匹种马死亡。	3	7
w01025083	# text = 严冬来临时，丹内维尔克和胡苏姆之间的施莱湾和湿地形成了冻土，丹内维尔克南部紧邻的土地已被前进的德国军队攻占。	3	8
w01025084	# text = 这次撤退行动让普奥联军感到意外，因为几乎所有丹麦军队都成功完成了撤离。	3	10
w01025085	# text = 不过这也导致重型火炮关键部件被遗弃，而关于为何当时通往弗伦斯堡的铁路未被妥善利用的疑问也一直是一个历史议题。	3	13
w01025086	# text = 撤退的消息让丹麦大众十分震惊，他们曾认为丹内维尔克是坚不可摧的，梅塞将军也被随即被解除指挥权。	4	13
w01025087	# text = 自此以后，丹内维尔克便归德国管辖。	2	4
w01026024	# text = 1987年，多瑙河上运输的货物数量上升至约一亿吨。	2	6
w01026037	# text = 多瑙河三角洲的大部分区域位于罗马尼亚（图尔恰郡），而其北部区域在奇莉娅湾(Chiliaarm)左岸，位于乌克兰（敖德萨州）境内。	2	6
w01027007	# text = 这里的气候非常干燥，偶尔甚至会有人误以为这个平原是撒哈拉沙漠的一部分。	3	10
w01027015	# text = 它与这个国家西部的不同之处在于，其主要的地形特点与海岸区域不相同。	2	5
w01027035	# text = 阿尔及利亚北部地处温带，享有温和的地中海气候。	2	3
w01028004	# text = 最重要的就是最终汇入密西西比河的俄亥俄河。	3	6
w01028050	# text = 矛盾的核心问题在于，堪萨斯州是以自由州还是奴隶制州的身份加入联邦。	3	5
w01028069	# text = 全国对于堪萨斯州事件的反应说明了这个国家的分化现象是多么严重。	2	5
w01029015	# text = 在颜色方面，叶子展示的是多样的绿色，从黄绿色到蓝绿色，不一而足。	3	5
w01029049	# text = 全美的印第安人都依赖其作为主要的医学治疗方法。	2	5
w01029083	# text = 位于欧洲西北部和乌克兰的基督教堂通常在棕枝主日的庆典上用柳枝取代棕榈叶。	3	8
w01030092	# text = 阿尔卑斯山脉为欧洲低海拔地区提供了饮用水、灌溉水和水力发电的条件。	2	6
w01030093	# text = 虽然此区域只占据欧洲地表的11%，但阿尔卑斯山脉为欧洲低海拔地区，特别是在干旱地区和夏季月份，提供了高达90%的水资源。	3	12
w01030094	# text = 在如米兰等城市中，80%的供水来自于阿尔卑斯山的径流。	1	5
w01030095	# text = 超过500座水电站利用了河流的水资源，可产生多达2900千瓦的电力。	3	7
w01030096	# text = 欧洲的主要河流均来自瑞士，例如莱茵河、罗讷河、茵河、提契诺河和宝河，所有河流均有源头来自阿尔卑斯山脉。	3	8
w01031003	# text = 对火山的研究学习可称为火山学(volcanology)，有时也可以拼写为vulcanology。	2	9
w01031015	# text = 岩浆一般因矽含量高而较为粘稠，因此它一般无法到达地表，而是在深处冷却。	4	9
w01031034	# text = 一般它们也不会发生灾难性的爆炸。	1	5
w01032139	# text = 全球变暖已经造成雨季模式的改变。	2	3
w01033022	# text = 它带有一个小型环礁湖，但是已经干涸。	2	4
w01033025	# text = 这里于1975年被宣布为野生动物保护区。	1	5
w01033061	# text = 这个岛屿的调查与考察工作正在继续。	1	3
w01033067	# text = 这些定居活动约在公元前1000年可能就已开始，当时东部的美拉尼西亚人在往北迁移。	1	4
w01034023	# text = 在其家庭在肯塔基和印第安纳生活期间，托马斯·林肯曾经当过农民、家具木工和木匠。	2	6
w01035079	# text = 栖息地的破坏极大地增加了一个地区面对自然灾害时的脆弱性，例如洪水、干旱、作物失收、疾病传播和水资源污染。	2	6
w01035080	# text = 另一方面，管理妥善的健康生态系统将能降低这些事件的发生率，或至少能减轻不利影响。	3	11
w01035081	# text = 农业用地实际上可能会因为周边地貌的破坏而受到影响。	1	6
w01035082	# text = 在过去的五十年中，农业用地附近的栖息地破坏已导致全球农业用地减少约40%，主要的原因有土地侵蚀、盐渍化、土地压紧、养分枯竭、污染和城镇化。	2	5
w01035083	# text = 栖息地被破坏后，人类也会无法直接使用自然栖息地。	2	6
w01036044	# text = 巴布亚新几内亚经常被标记为全球性别暴力可能最严重的地方。	2	9
w01036077	# text = 这些植物科属依然存在于巴布亚新几内亚。	1	4
w01037024	# text = 在七大洲的模型中，北美洲和南美洲被视为两个独立的大陆。	2	6
w01037080	# text = 克里斯托弗·哥伦布于1492年扬帆穿过大西洋，来到了西印度群岛，掀起了欧洲人探索美洲的热潮期。	4	10
w01038009	# text = 通常由于地点偏远、交通不便，这些不是十分受欢迎。	4	6
w01038016	# text = 不同的私营企业拥有余下的土地，总共占据该州的百分之一。	2	4
w01038022	# text = 这是阿拉斯加仅有的一个冬季白天平均最高温度高于冰点的区域。	3	10
w01038044	# text = 在欧洲人来到这之前，有数个本地民族在阿拉斯加生活了数千年。	3	6
w01039032	# text = 他们就是在这里偷了一艘该地区澳洲原住民留下的独木舟。	3	7
w01039058	# text = 随着布里斯班的发展，河流状况恶化至最糟糕的状况，情况宛如露天的下水道和污水池。	2	5
w01039065	# text = 时任布里斯班大市长的Sallyanne Atkinson宣布1987年是“河流保护年”。	3	6
w01040100	# text = 沙尘暴是发生在干旱地区的自然事件，这些土地没有获得植被的保护。	3	5
w01040101	# text = 沙尘暴通常在沙漠边缘形成，而不是在沙漠里，因为那里更微小的尘埃都已被吹走。	4	10
w01040102	# text = 随着风的稳定吹拂，位于裸露地表的细微颗粒开始颤动。	3	6
w01040103	# text = 当风速变快后，某些颗粒被带入气流中。	2	6
w01040104	# text = 当它们降落地面后，它们会击中其他颗粒并有可能将其弹入空中，形成连锁反应。	5	12
w01041046	# text = 但泰国的城镇化也导致了问题的激增，如肥胖。	1	2
w01042055	# text = 雷暴较为少见，因为城市每年有雷暴报告的天数仅为七天。	3	11
w01043027	# text = 到1340年，开罗人口已达将近五十万，使之成为中国西边最大的城市。	3	8
w01043065	# text = 同时，对尼罗河的额外控制促进了杰济拉岛和城市海滨一带的发展。	1	4
w01044010	# text = 内华达州的产业输出有旅游业、矿业、机械加工业、印刷与出版、食品加工和电子设备。	1	2
w01045002	# text = “加勒比海”的名字从“加勒比人”演化而来，加勒比人是15世纪末在该地区与欧洲人接触的主要美洲土著群体。	3	10
w01045003	# text = 克里斯托弗·哥伦布于1492年发现了美洲之后，是用西班牙词Antillas来命名这片土地的；因此在各种欧洲语言中，“Sea of the Antilles”成为了它们共通的“加勒比海”代名词。	5	16
w01045004	# text = 在头个世纪的发展中，西班牙对该地区的控制不存在争议。	1	4
w01045005	# text = 自16世纪起，到访加勒比海区域的欧洲人发现了“南海”（即巴拿马地峡南边的太平洋，与“北海”相对；北海是指巴拿马地峡北边的加勒比海）。	5	9
w01045006	# text = 加勒比海直到1492年才被欧亚大陆所知，当时克里斯托弗·哥伦布正在寻找海路前往亚洲，并首次驶入了加勒比海域。	3	11
w01046011	# text = 不幸的是，快速的人口增长和城镇化扩展蚕食了这些生态系统。	2	4
w01046056	# text = 开普敦的当地政府是开普敦市，是一个大都会城市。	2	5
w01047008	# text = 这篇短文以《水下世界》的名字出版，生动地讲述了一个在海床上进行的旅程。	4	8
w01047071	# text = 她也利用了她与许多政府科学家的私人关系，让他们为她提供机密信息。	3	7
w01047094	# text = 到1962年中，布鲁克斯和卡森已几近完成了编辑工作，正把手稿发给几位人士进行最终的建议环节，为这本书的推广工作奠定了基础。	4	13
w01047104	# text = 这引起了化学产业和相关说客、以及普罗大众的注意。	1	3
w01048027	# text = 到十四世纪五十年代，恭愍王才最终获得自由开始高丽政府的改革，当时元朝已经开始瓦解。	2	5
w01048090	# text = 自二十世纪六十年代以来，南韩的经济已获得了巨大的增长，经济结构被彻底改变。	1	5
w01049051	# text = 这通常包括低水平的发展，例如乡村野餐区、长凳和小径。	2	4
w01049066	# text = 澳大利亚的皇家国家公园建立于1879年，是世界上由官方建立的第二个国家公园。	4	8
w01049082	# text = 最重要的是在快速建立的区域内提供开阔的空间，作为市民和本地居民的福利。	5	8
w01050067	# text = 1911年，随着清朝的灭亡，博格达汗统治下的蒙古宣布独立。	2	4
w01050068	# text = 但是，新成立的中华民国认为蒙古是其领土的一部分。	3	8
w01050069	# text = 时任中华民国总统的袁世凯认为新共和国是清朝的继承者。	3	6
w01050070	# text = 博格达汗称蒙古和中国在清朝时均由满族统治，但清朝于1911年灭亡后，蒙古顺从于满族的协议就已失效。	4	11
w01050071	# text = 博格达汗控制的区域大约是清朝时期的前外蒙古的大小。	2	7
w01051032	# text = 在匆忙抓捕加低斯时，拉美西斯二世犯了重大的战术错误。	2	7
w01051080	# text = 实际上，詹姆斯·亨利·布雷斯特德于1903年撰写的第一份关于该战役的学术报告中充分赞扬了使该战役得以重现的资源。	5	11
w01052022	# text = 拉美西斯在后勤方面无法维持长时间的攻城战，因此返回埃及。	3	5
w01052038	# text = 埃及法老因此发现自己身处阿穆鲁北部，在远离加低斯的图尼普，自近120年前的图特摩斯三世以来，这里从未有埃及士兵出现。	5	10
w01052046	# text = 这次他声称参与了战役，甚至在战斗开始的两小时后才不慌不忙地穿上了盔甲。	4	12
w01053015	# text = 希律安提帕斯与希罗底的准确结婚年份仍是学者争论的话题。	2	4
w01053031	# text = 鉴于希律当时在耶路撒冷，彼拉多决定派耶稣去希罗底那接受审讯。	5	7
w01053045	# text = 根据《新约》记载，在保罗皈依的约十七年后，他在科林斯停留了八个月。	4	9
w01053062	# text = 如果当年是引入了特殊闰月的话，后一个日期只能是一个周五，但这获得了牛顿的支持。	3	10
w01053067	# text = 是有可能在两千年前的某一天确定了月相的，但若有云层或烟雾遮挡的话则行不通。	5	11
w01054107	# text = 新法兰西尚未稳定的较旧区域也修建了堡垒。	1	4
w01056103	# text = 这奠定了融合的基础，让国家的经济和法律机制可以应用到整个地中海，正如以前从拉丁姆应用到整个意大利一样。	6	14
w01057006	# text = 每首诗歌只描述了战争的一部分。	1	4
w01057016	# text = 后世的剧作家、史学家和其他知识分子会以特洛伊战争为原型进行作品创作。	2	5
w01057041	# text = 预言称他会在度过平淡无奇的一生后死去，或者会在战场英年早逝，并通过诗文而永世不朽。	6	11
w01058009	# text = 但是由于朱利安在363年被杀，此说法就被推翻了。	2	9
w01058013	# text = 据信上一次奥运会是在393年举办的。	2	3
w01060037	# text = 沈括作为官府代理人的管理技巧和能力很快得到了王安石的赏识。	2	8
w01060038	# text = 1072年，沈括被派往管理王安石的淤泥沉积调查计划，对首都外的汴河开展工作。	3	6
w01060039	# text = 沈括使用了原创的技术，成功疏通了运河，并展示了淤积物具有极佳的肥料价值。	5	11
w01060040	# text = 1075年夏季，他获派遣前往契丹辽朝担任使节，进一步在朝廷上获得了美誉。	4	8
w01060041	# text = 契丹人进行了数次挑衅性的谈判，要求把他们的边界向南推进，同时操纵数位不称职的中国大使，让他们对辽国的要求作出让步。	6	12
w01061050	# text = 特别是在意大利南部，也有人研究药学，当地萨莱诺的学校受到了伊斯兰医学的影响。	3	8
w01062037	# text = 据称提庇留离开后感到后悔，并数次要求返回罗马，但是均被奥古斯都拒绝。	5	9
w01062063	# text = 他似乎希望元老会和整个国家无需自己就能单独行动，而且他的直接命令都十分含糊，这也导致了人们讨论的内容更多是关于他的真实意图是什么，而不是是否应该通过他的法令。	8	19
w01063048	# text = 每位神祗都独特的代表了日常生活的实际所需，而且被人们小心翼翼的用恰当的仪式和祭品供奉。	3	10
w01064034	# text = 这是坐船从欧洲大陆出发的。	2	3
w01065018	# text = 在现场发现的祭祀遗迹由一排十座被称为立石的高大石碑组成，立石为南北走向，最高一座高3米，石群中央有一个祭坛和一个巨大的方形石制水池。	5	12
w01065019	# text = 这个巨碑的具体作用仍然在讨论当中，但是它们可能在中期青铜时代组成了迦南人的“高地”，即约公元前1600年。	1	7
w01065020	# text = 迦南人的城市在大火中被焚毁，时间约在埃及法老图特摩斯三世发起一系列战役之时。	2	7
w01065021	# text = 有关该城市的最古老历史资料是在凯尔奈克图特摩斯圣殿中一处有关被征服地点的碑文中发现的。	2	3
w01065022	# text = 阿马尔奈文书可追溯至公元前14世纪，其中包括了来自基色城的国王向埃及法老效忠的十封信件。	4	12
w01066003	# text = 泰国出生证明记录的是出生的月份、日期和时间，然后是星期几、农历日期以及生肖。	7	10
w01066006	# text = 她的黄道生肖是猴子，她的传统意义上很重要的六十周年庆典是在1992年。	1	3
w01066008	# text = 泰国每天的吉祥颜色是根据工作日表格来分配的，下面带有一个链接，可以打开当周各天的菩萨图片。	3	7
w01066040	# text = 泰国华人的农历春节和其他节日各有不同，因为这些节日是按照中国农历来计算的。	3	9
w01067032	# text = 此外，他加强了埃及和亚洲之间的防卫，在东三角洲地区建造了大公墙。	2	7
w01067059	# text = 他仅统治了十五年，这从他很多未完工的建造工程中得到了印证。	2	7
w01067103	# text = 除此之外，他们两者似乎都至少占有下埃及的一些区域。	2	7
w01068027	# text = 2002年9月9日，阿特灵被人以接受日本儿童电视节目有关太空的问题的采访为藉口，引诱前往比佛利山庄酒店。	4	6
w01068056	# text = 阿特灵结过三次婚。	1	3
w01069007	# text = 1519年，他成为哈布斯堡王朝的统治者，并于1530年获得了神圣罗马帝国皇帝的头衔。	2	8
w01069040	# text = 除去实行严厉的政策之外，查尔斯被认为是一个对荷兰人的需求抱有同情心的统治者。	5	9
w01069056	# text = 1566年，由约400名贵族成员组成的联盟向巴拿马总督玛格丽特递交了请愿，要求在余部返回前中止迫害行动。	6	11
w01069094	# text = 它与奥斯曼帝国在地中海的斗争，大大限制了其部署兵力对抗荷兰叛军的军事能力。	4	10
w01070031	# text = 一座青铜时代的气象天文台在公元前约1900年建成，一直到公元前700年，它依然在为附近生活的社区持续提供服务。	4	10
w01070032	# text = 中间的区域是用于观察太阳和满月的升起。	3	3
w01070033	# text = 三个标记把日出标记在夏至和冬至、春分以及秋分处。	1	3
w01070034	# text = 另外四个标记分别给出了在夏季和冬季时，满月的最小和最大倾斜角。	1	4
w01070035	# text = 两个用于测量农历月份的长度。	2	3
w01071036	# text = 其重要性在两个事实中反应出来。	1	3
w01071043	# text = 第三个系统在尤卡坦半岛的后古典时期被应用。	1	3
w01072002	# text = 希斯帕尼亚(Hispania)一词的来源备受争议，各种猜测仅仅是基于有可能只是巧合的相似度，且缺乏有力证据。	5	11
w01072046	# text = 但是在新生事物中，希斯帕尼亚的影响也非常大。	1	5
w01072065	# text = 在罗马化的第一阶段，罗马出于管理的原因把该半岛一分为二。	4	7
w01072079	# text = 到了3世纪时，卡瑞卡拉皇帝提出了一个新的分区，但仅存在了很短的时间。	3	10
w01073007	# text = 他们被拉迪亚德吉湖区的美深深打动，以至于他们的第一个孩子出生时，以它来作为新生儿名字。	4	9
w01073042	# text = 在那儿的时候，吉卜林也与在南海与崔丝一同上船的佛罗伦萨葛拉德相遇，并且坠入爱河（当时崔丝已返回了南海）。	5	14
w01073054	# text = 编辑惠勒斯蒂芬在工作上给了吉卜林很大压力，但是基普林的写作兴致势不可挡。	1	3
w01073067	# text = 回到拉合尔之后，1886年11月至1887年6月期间，在公报上发表了三十九篇故事。	2	6
w01073075	# text = 时至此刻，他已经越来越多地思考未来。	1	6
w01074088	# text = 《金瓶梅》于1610年出版，虽然著作整合了过往的材料，但它标志了迈向独立写作的趋势，表达了对心理学方面的关注。	4	13
w01075036	# text = 更高的男子高中入读率、人均收入及经济增长率都对降低发生内战的机率有着重大的影响。	3	8
w01075037	# text = 具体来说，男子高中入读率比平均水平高10%时，冲突发生的机率就会大概降低3%；而当增长率比研究的平均数据高1%时，内战发生的机率就会大概降低1%。	5	18
w01075038	# text = 这项研究说明了这三项因素是放弃叛乱的收益指标，因此较低的放弃收益会鼓励叛乱的发生。	4	10
w01075039	# text = 换言之，如果年轻的男性（他们是内战参战者的主要组成部分）有接受教育，或拥有满意的薪资，并能合理地假设他们未来会获得成功，那么他们参与叛乱的机率会降低。	6	19
w01075040	# text = 已有人提出较低的人均收入是抱怨愤懑的起因，会推动武装暴乱。	5	7
w01076039	# text = 对自由的保障保证了能化解公共内部的紧张关系，把帝国转变为更和谐的地方。	3	6
w01076054	# text = 于1916年发生的阿拉伯起义扭转了对抗奥斯曼人的中东战线的局势，在此之前，奥斯曼人在战争开始的前两年似乎还是占据优势的。	4	14
w01078013	# text = 本书在多个段落中详细探讨了战争对人类社会及文化的伤害。	1	5
w01079038	# text = 道明会牧师海因里希·克雷默是萨尔兹堡大主教的助理。	1	3
w01079049	# text = 1538年，西班牙宗教裁判所告诫其教徒不能相信《女巫之槌》的所有内容。	2	5
w01079057	# text = 强制受洗有悖天主教教义；理论上而言，任何人在强制受洗后都可以重新皈依犹太教。	3	10
w01079077	# text = 西班牙于1492年驱逐了境内的塞法迪犹太人；这些西班牙裔犹太人当中很多人离开西班牙去了葡萄牙，但是最后同样成了迫害对象。	3	11
w01080128	# text = 马其顿东部紧邻色雷斯的边境现在被奈斯托斯河（也叫麦斯塔河）所包围。	2	9
w01080129	# text = 菲利普随后朝南面的敌人推进。	2	3
w01080130	# text = 他在塞萨利击败了敌人；公元352年，他牢牢掌握了该地区。	2	7
w01080131	# text = 马其顿军队一直行进到把希腊一分为二的温泉关，却并不打算占领它，因为该处有雅典、斯巴达以及亚加亚联军的重兵守护。	6	12
w01080132	# text = 确保了马其顿边境的安全之后，菲利普召集了一个庞大的马其顿军队深入色雷斯，开始了长久的征服战。	4	9
w01081030	# text = 俄罗斯女皇叶卡捷琳娜同样非常满意。	1	3
w01082055	# text = 战争期间，美国经常用珍珠港事件来宣传。	2	5
w01083007	# text = 对罗曼诺夫王朝的理想愿景使他对国家的实际情况视而不见。	2	3
w01083021	# text = 俄罗斯帝国汇集了不同民族，这些民族在第一次世界大战之前就已经有了分离的明显迹象。	2	8
w01084085	# text = 该城邦与素可泰王朝在同一时期出现。	1	3
w01084102	# text = 在16世纪与西方的往来中，因为建立起了利润可观的交易通道，带来了一系列长远的经济增长。	3	9
w01085004	# text = 部队在古巴的战斗中表现优秀。	1	3
w01085005	# text = 但是，它太执着于西方的蝇头小利，未能做好面对海外冲突的充分准备。	3	9
w01085006	# text = 在佛罗里达的集结待命区，它所依赖的志愿军和国民警卫部队面临着运输、训练和粮食的问题。	2	7
w01085007	# text = 美国解放了古巴（在美国军队占领古巴之后）。	2	7
w01085008	# text = 根据和平协议，西班牙将自己的殖民地波多黎各、关岛以及菲律宾割让给了美国。	1	4
w01086012	# text = 从威尼斯募集的军队遭到了法国的进攻。	2	5
w01086037	# text = 截至1563年，威尼斯的人口降到了大约16万8千人。	2	5
w01087052	# text = 文艺复兴时期的教育主要由古代文学和历史组成，这是因为人们认为古典作品能够陶冶情操、加深对人类行为的了解。	5	8
w01088099	# text = 但是，有一个全面的人口统计数据分析，对象包括妇女，特别是有养育孩子的那些。	5	12
w01089017	# text = 关于这个时期的信息主要来自埋葬地点以及陪葬品。	1	4
w01089040	# text = 当时那里大约只有四十户人家，却有大量的耕地和牧场。	2	6
w01089068	# text = 随着希腊向西边的西西里岛及意大利（皮特库赛以及库迈）殖民，希腊字母的影响越来越广。	3	5
w01091016	# text = 香蕉和粉芭蕉，最早在东南亚种植（最有可能在巴布亚新几内亚），可能早在5000年前就已传至非洲。	4	12
w01091045	# text = 除了直接作为食物以外，动物还能提供皮毛，同时它们的粪便还能作为肥料。	3	12
w01092019	# text = 苏格兰人詹姆斯·瓦特从根本上改变了其工作原理。	1	4
w01092032	# text = 工业革命令人们对机器金属部件有所需求。	3	4
w01093028	# text = 在第二次美塞尼亚战争期间，斯巴达在伯罗奔尼撒及希腊的其他地方成为了一个本地势力。	2	6
w01094022	# text = 在20世纪国际汽车评选活动中，福特T型车被评为最有影响力车型。	1	5
w01094066	# text = 美国汽车公司的紧凑车型漫步者大获成功，在这种激励下，通用公司和福特公司于1960年推出了自己的小型汽车。	1	6
w01095089	# text = 这项习俗在近代只是稍微有所改变，现在朋友间还是不建议称呼名，而是称呼姓。	5	10
w01095090	# text = 如果对方是皇室，直呼其名字会显得非常不礼貌。	3	8
w01095091	# text = 从明治天皇开始，人们习惯称一位天皇在位的期间为一个纪元；在天皇死后，则以天皇在位的年号称呼天皇。	6	15
w01095092	# text = 明治天皇以前，朝代年号经常改变，天皇的谥号也起自不同的方式。	1	6
w01095093	# text = 其他国家的人，则直接用名字称呼日本昭和天皇以后的天皇，无论他们是否在世。	3	7
w01096013	# text = 亚太地区有三百万至一千万人口死于日本侵略部队，其中中国的死亡人口最多，约有七百五十万。	2	8
w01096055	# text = 在欧洲，战争爆发之前，同盟国在人口和经济上都有着明显优势。	2	7
w01096074	# text = 地面战争的格局从一战时由静态防御的前线主导，变成更注重机动性和武器的多样性。	3	6
w01097059	# text = 英国骑兵部队同时还接受严格的剑术训练。	1	4
w01097104	# text = 一些历史学家，如钱德勒和威勒，认为英国重骑兵在发起第一次伟大的进攻之后，就被视为有生力量而遭消灭了。	5	12
w01098043	# text = 对罗马人常染色体的基因研究表明，罗马人的南亚祖先来自印度西北部。	2	3
w01099012	# text = 音乐起源的解释取决于对音乐的定义。	1	3
w01099045	# text = 在人类之中，男人和女人都是很好的歌手，创造音乐几乎是一项团体活动。	2	6
w01100046	# text = 1839年两湖总督林则徐禁止鸦片贸易之后，中国不得不面对英国发起的第一次鸦片战争。	2	7
w01100047	# text = 中国战败，于1842签订了《南京条约》。	1	4
w01100048	# text = 香港被割让给英国，包括上海和广州在内的五个港口向英国开放贸易和居住权。	2	6
w01100049	# text = 1856年，第二次鸦片战争爆发；中国再次战败，被迫接受1858年《天津条约》和1860年《北京条约》。	2	5
w01100050	# text = 条约开放了新的贸易港口，同时允许外国人在中国内地旅行。	4	6
w01101020	# text = 拉玛尔和曼德尔一起参加商务会议，在会议中，他和科学家以及其他专业人士一起探讨军事技术。	1	6
w01101046	# text = 拉玛尔的早期发明包括改良交通信号灯以及能够溶于水产生碳酸饮料的药丸。	5	8
