sent_id	sent_text	clause_n	lds_n
822	# text = 正如其他选举一样，有人可能会质疑不同候选人的某些声明有误。	4	7
823	# text = 大家日后可以透过不同方式跟进，包括司法覆核或其他法律程序。	2	10
824	# text = 作为议员我们都很理解。	1	4
825	# text = 我希望梁耀忠议员可以公平、公正地主持会议，确保我们能够顺利选出主席。	4	10
826	# text = 主席，我留意到有些同事就两位候选人的其中一人的资格提出了意见或质疑。	2	12
827	# text = 但我相信在这个会议厅内，虽然不同政治立场的议员对此事抱持不同的态度，但亦不能因此而阻碍今天既定的议程。	3	23
828	# text = 由我们完成宣誓至今，我相信已浪费了两小时。	3	6
829	# text = 而阁下的工作亦只是主持今天这项主席选举，所以我希望你不要再浪费时间，直接进入立法会主席选举的程序。	4	16
830	# text = 谢谢。	1	1
831	# text = 主席，毛孟静议员刚才提到一个观点，就是按照最严谨、最谨慎、合理的做法。	2	12
832	# text = 在我们看到正式文件前，实难以单凭一封电邮或相关文件的副本予以确认，即使我们相信他。	3	14
833	# text = 我认为今次选举主席，后果十分重大，足以带来宪制危机。	5	7
834	# text = 我们是否必须如此草率、仓促地处理？	3	6
835	# text = 另一点，刚才也有同事提到，就《英国国籍法》所订有关取消国籍和居留权的问题上，我认为当中仍有争议。	6	15
836	# text = 而我们似乎未有充分谘询法律意见。	1	7
837	# text = 在此情况下，就《基本法》第七十一条所指的外国居留权问题，我认为在未澄清之前，是否必须在这一刻选举立法会主席？	6	17
838	# text = 刚才提到规程问题。	1	2
839	# text = 你说你的责任是主持会议，以及在得出结果后，作出宣布。	5	11
840	# text = 其实有一件事情是否也属于你的权力范围，就是中止整个会议？	6	11
841	# text = 面对这些法律观点或风险，你认为今天是否不适宜就选举立法会主席作出决定？	7	12
842	# text = 多谢主席。	1	1
843	# text = 我是第一次参与立法会会议。	2	5
844	# text = 正如李慧琼议员所言，很多香港人正在观看和关注这次会议。	3	8
845	# text = 正因如此，我们对自己应有更高的要求。	2	7
846	# text = 刚才我留意到最大的问题是什么？	2	5
847	# text = 我仍是一名大学生。	1	5
848	# text = 但这次选举的严谨程度比大学学生会选举更不如。	1	7
849	# text = 怎可能在尚未确定候选人的国籍便开展整个程式？	2	8
850	# text = 他现在只是口头表示……	2	4
851	# text = 虽然有人指那些信件可证实其事，但都不过是口头上的确认。	4	11
852	# text = 倘若秘书处和主席对整个选举负责，或觉得整个立法会要取信于民，重新取得市民的信任，便更要将每个程式做得更严谨，而非「按章工作」，即秘书处说不需要查便不查。	11	29
853	# text = 要求提供一份书面和具有法律效力的文件，本应很简单。	3	10
854	# text = 即使我参加学生会选举，亦需提供学生证，证明我是大学的学生。	3	10
855	# text = 主席，如果连如此简单的程序也不能完成，整个立法会不可能取信于人。	2	10
856	# text = 这是第一个问题。	1	4
857	# text = 第二个问题，我们现在尚未弄清楚多少议员能够投票。	2	8
858	# text = 《议事规则》最基本的精神是确保每位议员有充足机会完成宣誓程序。	6	12
859	# text = 而秘书长不能基于完全没有法律理据的无理质疑，凭其个人判断向其他议员表示他没有能力主持监誓。	5	16
860	# text = 我认为这是完全违反了《议事规则》应有的精神。	5	7
861	# text = 即让所有议员能够成功完成宣誓程式，然后才进行立法会主席选举。	4	10
862	# text = 所以，秘书长陈维安刚才的决定或判断完全是arbitrary_use_of_power，是完全没有任何基础的判断。	3	13
863	# text = 如果大家翻看刚才录影片段，其实三位议员已完整读完誓词。	3	10
864	# text = 而《议事规则》只规定议员要完整读出誓词。	4	8
865	# text = 所以秘书长不能以语气或其他条件为标准，判断他无权监誓。	4	10
866	# text = 我希望主席明白大家面前有两大问题。	3	5
867	# text = 如果我们不先处理这些问题，然后才进行主席选举，立法会便难以取信于人。	3	11
868	# text = 我相信很多议员，包括众多有广大民意基础支持的直选议员，都不能信纳这次选举结果。	6	16
869	# text = 主席，今天我们向香港人展示一个粗疏得不能再粗疏的程序。	3	11
870	# text = 梁君彦议员连正本都拿不出来证明自己的国籍。	2	8
871	# text = 只提供一份副本不像副本的文件。	2	6
872	# text = 最糟糕的是，他连居留权都未能厘清。	3	8
873	# text = 如果我们今天在一种如此粗疏的情况下进入选举立法会的程序，主席，就是让梁君彦议员「过了海便是神仙」。	6	18
874	# text = 他当然乐意。	1	2
875	# text = 我觉得大家刚才问的问题都很具体。	3	6
876	# text = 候选人的资格以至哪些议员合资格投票，我们都未能厘清。	3	9
877	# text = 在如此混乱、粗疏的情况下进入选举程序，主席，我怕你背负的压力会很大。	5	13
878	# text = 因此，我希望主席你能够耐心聆听议员的意见，然后作出裁决。	3	8
879	# text = 如果在一种如此不能服众的情况下进行立法会主席选举，香港人是会看到的。	4	13
880	# text = 谢谢主席。	1	1
881	# text = 主席，对于你刚才所说，「只有立法会主席才有居留权限制，候选人没有」，我完全不能接受。	4	13
882	# text = 如果我们这一刻进行投票，当选者下一刻便成为立法会主席。	2	9
883	# text = 因此，我们绝对有义务厘清他已完成所有放弃英国居留权的手续，并且交出正本，以正视听。	6	14
884	# text = 立法会秘书处亦有责任维护这个程序正确和完整地进行。	3	7
885	# text = 所以，如果梁君彦议员仍然无法交出盖有正规印章的信件正本，他应该不符合参选资格。	5	15
886	# text = 除了设置两个投票箱，分别供投废票和投给涂谨申议员，我们是否还要为梁君彦议员设置投票箱？	6	14
887	# text = 这相当影响未来立法会任期内会议如何进行，跟全港公众利益也有莫大关系。	3	11
888	# text = 我认为这一刻一定要处理这件事。	2	7
889	# text = 如果梁君彦议员无法交出文件正本，他应该不符合参选资格。	3	9
890	# text = 我刚才只是依书直说，向大家引述《基本法》的内容，并没有加入个人意见。	4	10
891	# text = 由于主席不应加入个人意见，况且当中涉及宪制和法律的问题，我不宜给予任何意见。	4	15
892	# text = 即使我提出意见，也未必是最正确无误。	3	8
893	# text = 只供大家参考而已。	1	2
894	# text = 任何一项选举，不论是我以往参加过的学生会选举，以至今天立法会主席的选举……	4	13
895	# text = 主席，如果这是正式会议，梁颂恒议员没有资格参加这个会议。	3	9
896	# text = 主席，那么我修正我第一个问题。	1	6
897	# text = 我想问我现在究竟有没有权参加这个会议？	4	9
898	# text = 主席，根据《议事规则》和相关法例，任何未宣誓的议员不能参加正式会议和发言。	2	11
899	# text = 主席，那么我下一个问题来了。	1	6
900	# text = 《议事规则》第十二条《每届任期的首次会议》订明……	2	8
901	# text = （一）在立法会每届任期首次会议上，议员须按照本议事规则第一条《宗教式或非宗教式宣誓》的规定作宗教式或非宗教式宣誓。	4	22
902	# text = （二）在所有出席会议的议员……「──包括我──」作宗教式或非宗教式宣誓后，须按照本议事规则第四条《立法会主席的选举》规定的程序进行立法会主席的选举。	8	24
903	# text = 主席，这里涉及先后次序的问题。	1	4
904	# text = 我们尚未完成第一款的程序，即所有出席这次会议的议员进行宣誓。	3	12
905	# text = 试问怎能进入第二款选举立法会主席的程序？	2	8
906	# text = 这是很严重的规程问题。	1	4
907	# text = 既然我已容许其他议员就座，便不会作出不容许议员发言的决定。	5	12
908	# text = 我会让他发言。	2	3
909	# text = 主席，如果你确认这是一个正式会议，你这样做严重违反了《议事规则》第一条的规定。	4	14
910	# text = 我希望你重新考虑。	2	3
911	# text = 我认为要改选主席。	2	2
912	# text = 我和应谢伟俊议员。	1	1
913	# text = 他不称职。	1	2
914	# text = 要改选主席。	1	1
915	# text = 你可以提出质疑，但我已作了决定。	2	6
916	# text = 在席议员是经过选举确认的议员，虽然他未宣誓，但我会容许他发言。	5	11
917	# text = 你可以有你的决定。	1	4
918	# text = 但我想知道，你的决定是否建基于你认为有关议员是否应该正式宣誓？	4	11
919	# text = 如果你认为他的宣誓有效而准许他发言，你可以此为基础作出决定。	6	10
920	# text = 但如果你同意有关宣誓不合理和不合法，你这样做便严重违反了《议事规则》第一条。	6	14
921	# text = 即使任何议员未曾作最后宣誓，他仍具议员的资格，这是就其身份而言。	4	12
922	# text = 当然，你可以说他尚未宣誓，尚未是议员。	3	9
923	# text = 但问题是你刚才尚未宣誓，我已容许你就座。	4	9
924	# text = 你又如何解释呢？	1	3
925	# text = 主席，当你宣布进入选举主席的第二阶段，便已确认完成了第一阶段的宣誓仪式。	5	12
926	# text = 所以，你不要搞错这个逻辑。	1	5
927	# text = 你说得对。	2	2
928	# text = 不过问题在于尚未有人取消他的资格，他是未宣誓。	5	10
929	# text = 你先前在会议上就座，没有人取消你的资格，所以你有资格宣誓。	5	11
930	# text = 我是指他发言，主席。	3	4
931	# text = 不是取消资格。	2	2
932	# text = 这是下一步会处理的问题。	2	6
933	# text = 我只是提出，议员要完成第一阶段的宣誓，才有资格进入第二阶段参与会议。	6	12
934	# text = 你可以质疑我的做法。	1	4
935	# text = 但我认为按照刚才的程序，你们尚未宣誓已有资格在会议厅就座，我是基于这个理念作出决定。	6	12
936	# text = 你问我理据是什么，我已向你作出解释。	4	7
937	# text = 无论你接受与否，又或我的决定是对或错。	4	9
938	# text = 如果你仍视我为主席，并称呼我为主席，你便要接受我的决定。	5	11
939	# text = 除非你不把我当作主席，那就不用理会我这决定。	2	10
940	# text = 梁颂恒议员，你是否要继续发言？	2	5
941	# text = 主席，我明白你不想当「丑人」，但你不可以违反《议事规则》。	4	11
942	# text = 《议事规则》第一条订明，议员未宣誓便不能参与会议。	4	8
943	# text = 你可以提出质疑，但我刚才已作出决定。	2	6
944	# text = 你没有权overrule《议事规则》作出这决定。	4	7
945	# text = 你根本没有power作出这决定。	3	5
946	# text = 我已说了。	1	2
947	# text = 我的决定可以是错或对。	2	5
948	# text = 但无论如何，我今天不会跟你争论。	2	7
949	# text = 这是错的决定。	1	4
950	# text = 你是否要作出违反《议事规则》的决定？	3	7
951	# text = 我已作出决定。	1	2
952	# text = 如果你不同意我的决定，可以向法庭提出质疑。	2	7
953	# text = 为何你这些话不跟他们说？	1	5
954	# text = 为何你不叫他们向法庭提出要执行你的决定？	3	7
955	# text = 我不是已决定了吗？	2	4
956	# text = 为何你这些话只对我说，却不对你身旁的人说？	2	10
957	# text = 我已经作出决定，让他发言。	2	4
958	# text = 梁耀忠，为何要这样呢？	1	3
959	# text = 你可否保持中立和公正，按照《议事规则》来办事？	4	7
960	# text = 我知道你不会当「丑人」，也不想为难你。	3	7
961	# text = 你只需按照《议事规则》便可以。	2	7
962	# text = 根据《议事规则》，我作的决定便是最终决定。	2	7
963	# text = 主席，规程问题。	1	2
964	# text = 请大家先坐下。	2	2
965	# text = 规程问题：主席，立法会是庄严的地方。	2	6
966	# text = 希望你请那些在你身旁的议员返回座位。	3	6
967	# text = 请大家坐下，并保持肃静。	4	5
968	# text = 梁美芬议员，我还未批准你发言，请坐下。	4	7
969	# text = 我不是插队发言，主席。	3	5
970	# text = 我希望在你身旁的议员可以返回座位，因为我们感到很骚扰。	4	7
971	# text = 我们希望主席你一个人主持会议。	2	6
972	# text = 不应有五个人垂帘听政。	2	5
973	# text = 你不需要这些人来保护，对吗？	3	5
974	# text = 梁美芬教授……	1	1
975	# text = ……我们感到非常骚扰。	2	2
976	# text = 我希望主席裁决。	2	2
977	# text = 请这五位议员返回座位，因为立法会《议事规则》……	3	8
978	# text = 刚才的会议本来进行得很好……	2	4
979	# text = ……第四十二条清楚订明……	1	2
980	# text = ……只是你们提出这些问题，会议便不能进行。	3	7
981	# text = ……主席，我希望你要求那五位议员返回座位……	3	7
982	# text = 梁美芬议员，我还未叫唤你发言。	2	5
983	# text = 请你先坐下。	2	2
984	# text = 下一位是陈志全议员。	1	4
985	# text = 梁颂恒议员尚未说完。	1	3
986	# text = 梁颂恒议员，你刚才坐下来。	1	3
987	# text = 我以为你已发言完毕。	2	3
988	# text = 请你继续。	2	2
989	# text = 主席，我忘记说到哪里。	2	4
990	# text = 刚才较为混乱。	1	2
991	# text = 其实，在选举中……	1	2
992	# text = 请议员坐下。	2	2
993	# text = 在我叫唤议员发言前，请先坐下。	4	6
994	# text = 梁颂恒议员，请继续发言。	3	4
995	# text = 在任何选举中，最重要的两点就是候选人资格及选民基础。	2	9
996	# text = 现在出现了两个问题。	1	3
997	# text = 第一，候选人的资格成疑。	1	3
998	# text = 刚才多位议员已说过这点，我不详述。	2	7
999	# text = 第二个问题是关于投票人的资格，《议事规则》订明的上一项程序根本未完成。	3	12
1000	# text = 如何开始下一步选举主席的会议？	2	6
1001	# text = 《议事规则》已清楚订明由议员宣誓至选举主席的程序。	4	10
1002	# text = 在第十二条（每届任期的首次会议）已有明确规定。	1	8
1003	# text = 所以，主席，请你先看看《议事规则》，以决定各事项的先后次序。	4	8
1004	# text = 应该让每位出席会议的议员作出宗教式或非宗教式宣誓后，再按照《议事规则》第四条进行选举主席的程序。	6	19
